step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
664,0.00034,1.0,,
665,0.0004,1.0,,
666,0.04523,0.98131,,
667,0.0025,1.0,,
668,5e-05,1.0,,
669,0.00014,1.0,,
670,0.0771,0.99107,,
671,4e-05,1.0,,
672,4e-05,1.0,,
673,0.0344,0.99123,,
674,3e-05,1.0,,
675,4e-05,1.0,,
676,0.02689,0.99123,,
677,0.00032,1.0,,
678,0.0,1.0,,
679,0.00062,1.0,,
680,0.02554,0.99167,,
681,3e-05,1.0,,
682,6e-05,1.0,,
683,4e-05,1.0,,
684,0.22308,0.97368,,
685,3e-05,1.0,,
686,0.05443,0.99074,,
687,0.09356,0.98276,,
688,0.0,1.0,,
689,0.00011,1.0,,
690,3e-05,1.0,,
691,0.09264,0.98276,,
692,2e-05,1.0,,
693,0.01888,0.99099,,
694,0.14113,0.99065,,
695,4e-05,1.0,,
696,5e-05,1.0,,
697,5e-05,1.0,,
698,0.00149,1.0,,
699,0.00018,1.0,,
700,0.07877,0.99115,0.0005,1.0
701,0.087,0.98276,,
702,0.01685,0.99138,,
703,0.0,1.0,,
704,0.0839,0.98246,,
705,1e-05,1.0,,
706,2e-05,1.0,,
707,0.13936,0.9823,,
708,0.00629,1.0,,
709,0.08422,0.98182,,
710,0.00011,1.0,,
711,0.0001,1.0,,
712,0.10374,0.99115,,
713,0.00058,1.0,,
714,0.00011,1.0,,
715,0.09905,0.98276,,
716,0.00027,1.0,,
717,0.05555,0.99065,,
718,0.00073,1.0,,
719,0.00196,1.0,,
720,0.001,1.0,,
721,0.03669,0.98182,,
722,0.14477,0.98214,,
723,0.00271,1.0,,
724,0.03593,0.99145,,
725,0.03846,0.99074,,
726,0.00056,1.0,,
727,0.00067,1.0,,
728,0.00046,1.0,,
729,0.00711,1.0,,
730,0.04347,0.99074,,
731,1e-05,1.0,,
732,0.00462,1.0,,
733,8e-05,1.0,,
734,0.05777,0.99115,,
735,1e-05,1.0,,
736,0.00016,1.0,,
737,0.06944,0.99091,,
738,0.00064,1.0,,
739,0.0001,1.0,,
740,0.00017,1.0,,
741,0.00012,1.0,,
742,0.0655,0.99048,,
743,0.00068,1.0,,
744,1e-05,1.0,,
745,1e-05,1.0,,
746,4e-05,1.0,,
